Kabupaten/Kota,Indeks Jumlah Pergerakan_2017,Indeks Jumlah Pergerakan_2018,Indeks Jumlah Pergerakan_2019,Indeks Jumlah Pergerakan_2020,Indeks Jumlah Pergerakan_2021,Indeks Jumlah Pergerakan_2022,Indeks Jumlah Pergerakan_2023,Indeks Intensitas Pergerakan_2017,Indeks Intensitas Pergerakan_2018,Indeks Intensitas Pergerakan_2019,Indeks Intensitas Pergerakan_2020,Indeks Intensitas Pergerakan_2021,Indeks Intensitas Pergerakan_2022,Indeks Intensitas Pergerakan_2023,Pertumbuhan Ekonomi_2017,Pertumbuhan Ekonomi_2018,Pertumbuhan Ekonomi_2019,Pertumbuhan Ekonomi_2020,Pertumbuhan Ekonomi_2021,Pertumbuhan Ekonomi_2022,Pertumbuhan Ekonomi_2023,Pengeluaran Perkapita Sebulan Kelompok Makanan_2017,Pengeluaran Perkapita Sebulan Kelompok Makanan_2018,Pengeluaran Perkapita Sebulan Kelompok Makanan_2019,Pengeluaran Perkapita Sebulan Kelompok Makanan_2020,Pengeluaran Perkapita Sebulan Kelompok Makanan_2021,Pengeluaran Perkapita Sebulan Kelompok Makanan_2022,Pengeluaran Perkapita Sebulan Kelompok Makanan_2023,Jumlah Penduduk_2017,Jumlah Penduduk_2018,Jumlah Penduduk_2019,Jumlah Penduduk_2020,Jumlah Penduduk_2021,Jumlah Penduduk_2022,Jumlah Penduduk_2023,Aktivitas Masyarakat_2017,Aktivitas Masyarakat_2018,Aktivitas Masyarakat_2019,Aktivitas Masyarakat_2020,Aktivitas Masyarakat_2021,Aktivitas Masyarakat_2022,Aktivitas Masyarakat_2023,Tingkat Kekeringan Lahan_2017,Tingkat Kekeringan Lahan_2018,Tingkat Kekeringan Lahan_2019,Tingkat Kekeringan Lahan_2020,Tingkat Kekeringan Lahan_2021,Tingkat Kekeringan Lahan_2022,Tingkat Kekeringan Lahan_2023,Tingkat Kesuburan Lahan_2017,Tingkat Kesuburan Lahan_2018,Tingkat Kesuburan Lahan_2019,Tingkat Kesuburan Lahan_2020,Tingkat Kesuburan Lahan_2021,Tingkat Kesuburan Lahan_2022,Tingkat Kesuburan Lahan_2023,Luas Panen_2017,Luas Panen_2018,Luas Panen_2019,Luas Panen_2020,Luas Panen_2021,Luas Panen_2022,Luas Panen_2023,PDRB Pertanian_2017,PDRB Pertanian_2018,PDRB Pertanian_2019,PDRB Pertanian_2020,PDRB Pertanian_2021,PDRB Pertanian_2022,PDRB Pertanian_2023
Kabupaten Ngawi,  60.10 ,  78.60 ,  82.60 ,  77.90 ,  85.90 ,  99.80 ,  115.20 ,1.34,1.75,1.84,1.73,1.91,2.22,2.56,5.07,5.21,5.05,-1.69,2.55,3.19,4.49,387264,386079,422465,430665,459742,456207,535190,829899,830090,830108,870057,873346,877432,881393,5552.600014,6901.40001,7047.800003,6696.200011,7526.200003,9470.500005,11660.09998,0.7300670086,-0.726058612,-0.7386696816,0.8792969445,1.207643328,1.436075205,-0.2477620902,0.3660549407,0.3481890647,0.3483870822,0.3698553155,0.3658350875,0.3635180236,0.3499235767,124922.91,121761.0,122501.0,125908.0,128738.0,128585.79,124922.92,3945033.05,4039868.86,4117317.32,4156112.49,4138055.43,4061335.47,4144759.44
Kabupaten Pacitan,  11.10 ,  16.40 ,  16.20 ,  10.10 ,  13.00 ,  23.30 ,  36.10 ,0.33,0.48,0.48,0.3,0.38,0.69,1.06,4.98,5.47,5.08,-1.84,2.49,5.54,4.46,406358,422021,418055,416124,385890,428206,486370,553388,554394,555304,586110,589108,592916,596649,1641.100007,2378.500008,2302.80001,1677.500007,2374.000009,3887.600015,6221.800025,0.7608604199,-0.9181664759,-0.7608604199,0.9181664759,1.036368509,1.421179969,-0.1098013339,0.4188016531,0.3724086863,0.3670997847,0.4178376545,0.4300454204,0.4437470923,0.3964361513,17923.39,19312.0,20504.0,19292.0,18894.0,17831.47,17923.4,2595676.13,2641502.01,2639072.29,2739302.52,2700669.7,2820635.41,2827383.94
Kabupaten Pamekasan,  90.40 ,  105.20 ,  111.10 ,  116.80 ,  125.50 ,  136.00 ,  158.40 ,3.62,4.21,4.44,4.67,5.02,5.44,6.34,5.04,5.46,4.92,-2.54,3.41,4.66,4.96,377797,371599,406615,417229,393798,447395,502460,863004,871497,879992,850057,853507,857818,862009,7899.700001,9534.599992,10544.79999,10857.7,12714.3,13521.69998,16386.19997,1.715685203,0.1835428461,-1.098871719,0.9367327506,0.8342992868,1.469714713,-0.208969941,0.3499440239,0.2888061549,0.2917929457,0.3504955724,0.3421562433,0.3724747595,0.3239886706,19884.35,21978.0,20169.0,20170.0,18926.0,20497.42,19884.36,3137578.46,3187663.51,3191740.94,3214646.42,3262761.29,3367646.1,3457919.6
Kabupaten Pasuruan,  315.40 ,  327.70 ,  409.00 ,  406.40 ,  389.30 ,  417.30 ,  452.90 ,5.17,5.37,6.7,6.66,6.38,6.84,7.42,5.72,5.73,5.83,-2.03,4.34,5.32,5.21,495810,519175,515088,529155,548666,574005,608993,1605307,1616578,1627396,1605969,1611805,1619035,1626029,13939.5,15755.2,16978.3,16716.20001,18100.6,19512.8,22833.0,0.9273432955,-0.3099444473,-1.051317556,0.949110267,1.114986031,1.227786219,-0.7815961885,0.3563827824,0.3458446374,0.3428847135,0.3690057819,0.3673435843,0.3802365107,0.3506579964,48999.13,52562.0,53789.0,53127.0,50306.0,47384.82,48999.14,5906977.5,5822119.9,5865967.8,5929355.9,5782666.1,5806218.8,5890840.5
Kabupaten Ponorogo,  56.20 ,  66.60 ,  71.10 ,  65.80 ,  72.70 ,  84.40 ,  106.90 ,1.12,1.33,1.42,1.32,1.45,1.69,2.14,5.1,5.27,5.01,-0.9,3.19,3.24,5.14,388689,403727,415478,458674,450920,491340,557950,869894,870705,871370,949318,955839,964253,972582,4724.700005,5756.700007,5941.200004,5402.200004,6214.600003,7939.800009,10436.4,0.8356537792,-0.6724534065,-0.6037562926,0.9515857703,1.098871719,1.492677103,0.02187154381,0.3642619397,0.3523997151,0.3465160898,0.3740671144,0.372843602,0.3814697101,0.3583736959,66594.54,63444.0,58080.0,65073.0,68741.0,62964.37,66594.55,3381490.1,3412826.2,3407132.8,3492745.5,3556895.1,3416838.4,3514110.77
Kabupaten Probolinggo,  58.60 ,  63.60 ,  83.90 ,  79.80 ,  90.10 ,  97.10 ,  109.30 ,1.78,1.93,2.54,2.42,2.73,2.94,3.31,4.46,4.47,4.56,-2.12,3.35,4.52,4.73,345817,410384,398276,479768,452522,474669,518809,1155214,1162092,1168503,1152537,1155894,1159965,1163859,8123.000013,9044.700004,9340.800003,8847.399994,10116.59999,11834.40001,14272.70001,0.9241200432,-0.03030676221,-0.906883162,0.8559007443,1.287860656,1.204347219,-0.5556542417,0.3526701177,0.3389395044,0.3413946036,0.3746945781,0.366321623,0.3810888896,0.3439682325,35121.68,38415.0,39464.0,36926.0,37043.0,33503.12,35121.69,7350285.3,7200135.6,7278299.9,7280047.6,7355141.8,7510657.2,7760627.6
Kabupaten Sampang,  57.40 ,  67.00 ,  72.50 ,  79.50 ,  95.80 ,  105.50 ,  128.80 ,2.05,2.39,2.59,2.84,3.42,3.77,4.6,4.69,4.11,1.85,-0.29,0.22,2.31,2.56,396834,433465,404262,420135,415493,444960,456234,958082,968520,978875,969694,976020,984162,992210,7645.60001,9759.199994,10762.99999,10892.5,13383.09999,14986.59998,19613.29999,1.083245917,-0.4974230537,-0.9560695802,0.8738167848,0.5912819505,1.243900531,-0.08490204968,0.3675876534,0.2834757876,0.2928912931,0.3479256136,0.3553323903,0.389025042,0.3329518428,34795.53,37724.0,33052.0,37792.0,38152.0,34880.84,34795.54,3955111.97,3945125.43,3900517.25,4057720.52,4012241.81,4171301.66,4108451.25
Kabupaten Sidoarjo,  593.50 ,  593.00 ,  639.00 ,  643.80 ,  656.80 ,  702.40 ,  743.00 ,16.04,16.03,17.27,17.4,17.75,18.98,20.08,5.8,6.01,5.99,-3.69,4.21,7.53,6.16,618670,681759,683507,687465,753080,759941,824954,2183682,2216804,2249476,2082801,2091930,2103401,2114588,30459.99998,31318.69996,33479.40001,32748.6,33482.49996,36106.00002,39120.20004,1.125310804,-0.3635069875,-0.7382059495,0.8334370143,0.9936674699,1.181745326,-0.121460883,0.3003627091,0.2933182567,0.2875512204,0.3013045985,0.2877842259,0.3005092942,0.2811128639,31030.45,37277.0,34287.0,34321.0,32586.0,31368.74,31030.46,2654505.09,2551739.61,2558272.35,2628503.11,2626369.74,2686059.3,2730833.35
Kabupaten Situbondo,  47.80 ,  54.00 ,  56.00 ,  57.40 ,  66.30 ,  80.30 ,  87.40 ,1.65,1.86,1.93,1.98,2.29,2.77,3.01,5.07,5.46,5.44,-2.33,3.26,4.39,4.9,337261,437117,469511,432954,492349,496305,548337,676703,679993,682978,685967,688337,691260,694081,4058.200002,4793.900006,4926.500005,4891.500003,5912.200003,7596.900001,9412.399998,0.8360572263,-0.2706267664,-1.168494498,0.7951225985,1.446923717,1.53145652,-0.6313412466,0.3927785119,0.3819959188,0.3781011181,0.3950406162,0.395641294,0.4007046213,0.3770476485,27917.31,31623.0,30226.0,30529.0,30388.0,26784.22,27917.32,3753205.8,3767505.28,3826563.17,3746676.56,3810013.31,3823090.37,3977063.64
Kabupaten Sumenep,  48.20 ,  61.20 ,  70.00 ,  74.20 ,  90.00 ,  97.60 ,  119.90 ,1.24,1.57,1.79,1.9,2.31,2.5,3.07,2.86,3.63,0.14,-1.13,2.61,3.11,5.35,536140,520082,592227,550379,674636,1000170,1052321,1081204,1085227,1088910,1124436,1129822,1136632,1143295,5017.600007,6385.200006,6772.000006,6914.700006,8787.700004,9751.900005,12168.99999,1.401482254,0.1261009991,-1.136859792,0.9738652999,0.7737749392,1.930749176,-0.08728166592,0.3613130258,0.3083294257,0.3185624955,0.3747722165,0.3584650997,0.3918746633,0.3464722543,42432.96,46193.0,38412.0,42754.0,40299.0,41835.41,42432.97,7681993.8,7859048.3,7758094.6,7818687.4,7980607.4,8273578.6,8233654.43
